keV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1.20,3.700557,33.601783,132.523465,349.585771,721.134551,1317.382914,2001.207216,2813.998788,3523.240297,4676.754343,5084.753486,564.274329,726.651548,965.126365,1178.224849,1498.864733,1751.388944,1974.913750,2525.409149,3039.139554,3282.169764,3690.163281,4101.116106,4695.129390,5162.038767,5835.177781,6314.545802,7229.650034,7521.062812,8289.381881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2057.362598,2268.989624,2512.926680,2741.459792,0.000000,0.000000,0.000000,0.000000,4046.886509,4294.233977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6986.134679
1.22,3.501165,31.860121,125.894797,332.702520,687.159097,1257.020843,1911.963323,2692.010805,3375.625617,4485.800184,4912.488490,539.877356,695.243929,923.637574,1127.735379,1434.837870,1676.936100,1891.385570,2419.337027,2912.394078,3146.202722,3538.365766,3933.902238,4505.357245,4956.052062,5605.832616,6068.435557,6948.233176,7229.821205,7962.926618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1978.401291,2182.295522,2417.132680,2637.286997,0.000000,0.000000,0.000000,0.000000,3895.528795,4134.119853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6748.171636
1.24,3.315501,30.234889,119.697521,316.889613,655.298402,1200.339666,1828.054851,2577.167620,3236.447307,4305.560420,4748.720271,516.906581,665.671920,884.564089,1080.178504,1374.521445,1606.782908,1812.663520,2319.337889,2792.868387,3017.943796,3395.130805,3776.061281,4326.156931,4761.436955,5389.014179,5835.688760,6682.083200,6954.322069,7654.327194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1903.681593,2100.243890,2326.460246,2538.671382,0.000000,0.000000,0.000000,0.000000,3752.157026,3982.435678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6524.106062
1.26,3.142422,28.716611,113.897268,302.063535,625.389842,1147.060868,1749.084322,2468.945441,3105.098573,4135.275303,4592.902636,495.257605,637.801174,847.729674,1035.340625,1317.645682,1540.617599,1738.400093,2224.974323,2680.044520,2896.842037,3259.848744,3626.929127,4156.782959,4577.397139,5183.852445,5615.381460,6430.145274,6693.480743,7362.342121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1832.912645,2022.517143,2240.559444,2445.233895,0.000000,0.000000,0.000000,0.000000,3616.231037,3838.612178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6310.889226
1.28,2.980893,27.296713,108.462894,288.148474,597.285608,1096.930969,1674.689538,2366.866355,2981.024951,3974.249856,4444.532421,474.835160,611.509097,812.973474,993.026755,1263.964278,1478.155467,1668.277882,2135.846685,2573.449091,2782.393767,3131.962076,3485.898249,3996.553107,4403.203508,4989.550320,5406.666875,6191.452619,6446.302905,7085.834075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1765.827719,1948.823990,2159.109288,2356.626795,0.000000,0.000000,0.000000,0.000000,3487.254982,3702.126732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6107.835928
1.30,2.829983,25.967431,103.366131,275.075499,570.851155,1049.718933,1604.539959,2270.493679,2863.719071,3821.847448,4303.145493,455.552188,586.683655,780.148456,953.058636,1213.252034,1419.136148,1602.006556,2051.589312,2472.648840,2674.137874,3010.960257,3352.412091,3844.842170,4238.187545,4805.376511,5208.767873,5965.117932,6211.875787,6823.759701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1702.181883,1878.896897,2081.814944,2272.530635,0.000000,0.000000,0.000000,0.000000,3364.773089,3572.498892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6174.343921
1.32,2.688844,24.721718,98.581285,262.781847,545.963827,1005.213871,1538.333508,2179.427839,2752.716013,3677.484096,4168.313186,5305.556850,563.222323,749.120032,915.273082,1165.302758,1363.321208,1539.320175,1971.867169,2377.246676,2571.651622,2896.375102,3225.960094,3701.076415,4081.735459,4630.659195,5020.970283,5750.325757,5989.360366,6575.160561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1641.749913,1812.489819,2008.405237,2192.651565,0.000000,0.000000,0.000000,0.000000,3248.365858,3449.286405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5968.027325
1.34,2.556710,23.553171,94.084966,251.210286,522.511651,963.223017,1475.793733,2093.302714,2647.589176,3540.623396,4039.639101,5132.464084,541.031147,719.764841,879.520493,1119.927407,1310.491993,1479.974816,1896.372867,2286.878174,2474.546947,2787.776703,3106.073273,3564.728641,3933.282962,4464.780369,4842.616945,5546.325695,5777.984403,6339.155071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1584.324447,1749.376182,1938.630428,2116.718936,0.000000,0.000000,0.000000,0.000000,3137.646688,3332.081650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5771.553858
1.36,2.432885,22.455962,89.855850,240.308556,500.392262,923.569927,1416.667295,2011.782391,2547.946615,3410.772017,3916.756244,4967.458889,520.023916,691.969659,845.663551,1076.952429,1260.447732,1423.746456,1824.824016,2201.208449,2382.467146,2684.769782,2992.320274,3435.313792,3792.310615,4307.170825,4673.102386,5352.426341,5577.036233,6114.931308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1529.714325,1689.347083,1872.260239,2044.483157,0.000000,0.000000,0.000000,0.000000,3032.258853,3220.508468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5584.317325
1.38,2.316735,21.424782,85.874473,230.028871,479.511958,886.092888,1360.721733,1934.558280,2453.427768,3287.475670,3799.324455,4810.052635,500.121420,665.630437,813.576042,1036.218292,1213.003834,1370.429086,1756.960863,2119.929371,2295.083929,2586.990454,2884.303860,3312.385022,3658.339669,4157.305646,4511.868083,5167.989867,5385.859214,5901.740587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1477.743109,1632.209676,1809.082073,1975.713775,0.000000,0.000000,0.000000,0.000000,2931.872800,3114.219311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5405.757039
